[['32.719889', '18.000000', '0.000000'], ['33.679480', '17.729786', '0.000000']]
[['33.679480', '17.729786', '0.000000'], ['34.783626', '17.436476', '0.000000']]
[['34.783626', '17.436476', '0.000000'], ['35.892002', '17.159579', '0.000000']]
[['35.892002', '17.159579', '0.000000'], ['37.004363', '16.899158', '0.000000']]
[['37.004363', '16.899158', '0.000000'], ['38.120467', '16.655268', '0.000000']]
[['38.120467', '16.655268', '0.000000'], ['39.240066', '16.427965', '0.000000']]
[['39.240066', '16.427965', '0.000000'], ['40.362914', '16.217297', '0.000000']]
[['40.362914', '16.217297', '0.000000'], ['41.488764', '16.023312', '0.000000']]
[['41.488764', '16.023312', '0.000000'], ['42.617368', '15.846051', '0.000000']]
[['42.617368', '15.846051', '0.000000'], ['43.748478', '15.685555', '0.000000']]
[['43.748478', '15.685555', '0.000000'], ['44.881844', '15.541858', '0.000000']]
[['44.881844', '15.541858', '0.000000'], ['46.017218', '15.414992', '0.000000']]
[['46.017218', '15.414992', '0.000000'], ['47.154349', '15.304985', '0.000000']]
[['47.154349', '15.304985', '0.000000'], ['48.292987', '15.211862', '0.000000']]
[['48.292987', '15.211862', '0.000000'], ['49.432881', '15.135641', '0.000000']]
[['49.432881', '15.135641', '0.000000'], ['50.573781', '15.076342', '0.000000']]
[['50.573781', '15.076342', '0.000000'], ['51.715435', '15.033975', '0.000000']]
[['51.715435', '15.033975', '0.000000'], ['52.857546', '15.008553', '0.000000']]
[['52.857546', '15.008553', '0.000000'], ['53.996245', '15.000000', '0.000000']]
[['53.996245', '15.000000', '0.000000'], ['82.500000', '15.000000', '0.000000']]
[['82.500000', '15.000000', '0.000000'], ['111.003755', '15.000000', '0.000000']]
[['111.003755', '15.000000', '0.000000'], ['112.142454', '15.008553', '0.000000']]
[['112.142454', '15.008553', '0.000000'], ['113.284565', '15.033975', '0.000000']]
[['113.284565', '15.033975', '0.000000'], ['114.426219', '15.076342', '0.000000']]
[['114.426219', '15.076342', '0.000000'], ['115.567119', '15.135641', '0.000000']]
[['115.567119', '15.135641', '0.000000'], ['116.707013', '15.211862', '0.000000']]
[['116.707013', '15.211862', '0.000000'], ['117.845651', '15.304985', '0.000000']]
[['117.845651', '15.304985', '0.000000'], ['118.982782', '15.414992', '0.000000']]
[['118.982782', '15.414992', '0.000000'], ['120.118156', '15.541858', '0.000000']]
[['120.118156', '15.541858', '0.000000'], ['121.251522', '15.685555', '0.000000']]
[['121.251522', '15.685555', '0.000000'], ['122.382632', '15.846051', '0.000000']]
[['122.382632', '15.846051', '0.000000'], ['123.511236', '16.023312', '0.000000']]
[['123.511236', '16.023312', '0.000000'], ['124.637086', '16.217297', '0.000000']]
[['124.637086', '16.217297', '0.000000'], ['125.759934', '16.427965', '0.000000']]
[['125.759934', '16.427965', '0.000000'], ['126.879533', '16.655268', '0.000000']]
[['126.879533', '16.655268', '0.000000'], ['127.995637', '16.899158', '0.000000']]
[['127.995637', '16.899158', '0.000000'], ['129.107998', '17.159579', '0.000000']]
[['129.107998', '17.159579', '0.000000'], ['130.216374', '17.436476', '0.000000']]
[['130.216374', '17.436476', '0.000000'], ['131.320520', '17.729786', '0.000000']]
[['131.320520', '17.729786', '0.000000'], ['132.280111', '18.000000', '0.000000']]
[['132.280111', '18.000000', '0.000000'], ['164.000000', '18.000000', '0.000000']]
[['164.000000', '18.000000', '0.000000'], ['164.000000', '9.500000', '0.000000']]
[['164.000000', '9.500000', '0.000000'], ['164.000000', '1.000000', '0.000000']]
[['164.000000', '1.000000', '0.000000'], ['132.280111', '1.000000', '0.000000']]
[['132.280111', '1.000000', '0.000000'], ['131.320520', '1.270214', '0.000000']]
[['131.320520', '1.270214', '0.000000'], ['130.216374', '1.563524', '0.000000']]
[['130.216374', '1.563524', '0.000000'], ['129.107998', '1.840421', '0.000000']]
[['129.107998', '1.840421', '0.000000'], ['127.995637', '2.100842', '0.000000']]
[['127.995637', '2.100842', '0.000000'], ['126.879533', '2.344732', '0.000000']]
[['126.879533', '2.344732', '0.000000'], ['125.759934', '2.572035', '0.000000']]
[['125.759934', '2.572035', '0.000000'], ['124.637086', '2.782703', '0.000000']]
[['124.637086', '2.782703', '0.000000'], ['123.511236', '2.976688', '0.000000']]
[['123.511236', '2.976688', '0.000000'], ['122.382632', '3.153949', '0.000000']]
[['122.382632', '3.153949', '0.000000'], ['121.251522', '3.314445', '0.000000']]
[['121.251522', '3.314445', '0.000000'], ['120.118156', '3.458142', '0.000000']]
[['120.118156', '3.458142', '0.000000'], ['118.982782', '3.585008', '0.000000']]
[['118.982782', '3.585008', '0.000000'], ['117.845651', '3.695015', '0.000000']]
[['117.845651', '3.695015', '0.000000'], ['116.707013', '3.788138', '0.000000']]
[['116.707013', '3.788138', '0.000000'], ['115.567119', '3.864359', '0.000000']]
[['115.567119', '3.864359', '0.000000'], ['114.426219', '3.923658', '0.000000']]
[['114.426219', '3.923658', '0.000000'], ['113.284565', '3.966025', '0.000000']]
[['113.284565', '3.966025', '0.000000'], ['112.142454', '3.991447', '0.000000']]
[['112.142454', '3.991447', '0.000000'], ['111.003755', '4.000000', '0.000000']]
[['111.003755', '4.000000', '0.000000'], ['82.500000', '4.000000', '0.000000']]
[['82.500000', '4.000000', '0.000000'], ['53.996245', '4.000000', '0.000000']]
[['53.996245', '4.000000', '0.000000'], ['52.857546', '3.991447', '0.000000']]
[['52.857546', '3.991447', '0.000000'], ['51.715435', '3.966025', '0.000000']]
[['51.715435', '3.966025', '0.000000'], ['50.573781', '3.923658', '0.000000']]
[['50.573781', '3.923658', '0.000000'], ['49.432881', '3.864359', '0.000000']]
[['49.432881', '3.864359', '0.000000'], ['48.292987', '3.788138', '0.000000']]
[['48.292987', '3.788138', '0.000000'], ['47.154349', '3.695015', '0.000000']]
[['47.154349', '3.695015', '0.000000'], ['46.017218', '3.585008', '0.000000']]
[['46.017218', '3.585008', '0.000000'], ['44.881844', '3.458142', '0.000000']]
[['44.881844', '3.458142', '0.000000'], ['43.748478', '3.314445', '0.000000']]
[['43.748478', '3.314445', '0.000000'], ['42.617368', '3.153949', '0.000000']]
[['42.617368', '3.153949', '0.000000'], ['41.488764', '2.976688', '0.000000']]
[['41.488764', '2.976688', '0.000000'], ['40.362914', '2.782703', '0.000000']]
[['40.362914', '2.782703', '0.000000'], ['39.240066', '2.572035', '0.000000']]
[['39.240066', '2.572035', '0.000000'], ['38.120467', '2.344732', '0.000000']]
[['38.120467', '2.344732', '0.000000'], ['37.004363', '2.100842', '0.000000']]
[['37.004363', '2.100842', '0.000000'], ['35.892002', '1.840421', '0.000000']]
[['35.892002', '1.840421', '0.000000'], ['34.783626', '1.563524', '0.000000']]
[['34.783626', '1.563524', '0.000000'], ['33.679480', '1.270214', '0.000000']]
[['33.679480', '1.270214', '0.000000'], ['32.719889', '1.000000', '0.000000']]
[['32.719889', '1.000000', '0.000000'], ['1.000000', '1.000000', '0.000000']]
[['1.500000', '1.500000', '0.000000'], ['1.500000', '9.500000', '0.000000']]
[['1.500000', '9.500000', '0.000000'], ['1.500000', '17.500000', '0.000000']]
[['1.500000', '17.500000', '0.000000'], ['32.650834', '17.500000', '0.000000']]
[['32.650834', '17.500000', '0.000000'], ['33.547525', '17.247498', '0.000000']]
[['33.547525', '17.247498', '0.000000'], ['34.658841', '16.952283', '0.000000']]
[['34.658841', '16.952283', '0.000000'], ['35.774414', '16.673589', '0.000000']]
[['35.774414', '16.673589', '0.000000'], ['36.893999', '16.411476', '0.000000']]
[['36.893999', '16.411476', '0.000000'], ['38.017350', '16.166003', '0.000000']]
[['38.017350', '16.166003', '0.000000'], ['39.144219', '15.937223', '0.000000']]
[['39.144219', '15.937223', '0.000000'], ['40.274359', '15.725188', '0.000000']]
[['40.274359', '15.725188', '0.000000'], ['41.407520', '15.529943', '0.000000']]
[['41.407520', '15.529943', '0.000000'], ['42.543453', '15.351531', '0.000000']]
[['42.543453', '15.351531', '0.000000'], ['43.681907', '15.189993', '0.000000']]
[['43.681907', '15.189993', '0.000000'], ['44.822634', '15.045363', '0.000000']]
[['44.822634', '15.045363', '0.000000'], ['45.965380', '14.917673', '0.000000']]
[['45.965380', '14.917673', '0.000000'], ['47.109895', '14.806952', '0.000000']]
[['47.109895', '14.806952', '0.000000'], ['48.255927', '14.713223', '0.000000']]
[['48.255927', '14.713223', '0.000000'], ['49.403224', '14.636508', '0.000000']]
[['49.403224', '14.636508', '0.000000'], ['50.551532', '14.576823', '0.000000']]
[['50.551532', '14.576823', '0.000000'], ['51.700600', '14.534182', '0.000000']]
[['51.700600', '14.534182', '0.000000'], ['52.850104', '14.508595', '0.000000']]
[['52.850104', '14.508595', '0.000000'], ['53.994367', '14.500000', '0.000000']]
[['53.994367', '14.500000', '0.000000'], ['82.500000', '14.500000', '0.000000']]
[['82.500000', '14.500000', '0.000000'], ['111.005633', '14.500000', '0.000000']]
[['111.005633', '14.500000', '0.000000'], ['112.149896', '14.508595', '0.000000']]
[['112.149896', '14.508595', '0.000000'], ['113.299400', '14.534182', '0.000000']]
[['113.299400', '14.534182', '0.000000'], ['114.448468', '14.576823', '0.000000']]
[['114.448468', '14.576823', '0.000000'], ['115.596776', '14.636508', '0.000000']]
[['115.596776', '14.636508', '0.000000'], ['116.744073', '14.713223', '0.000000']]
[['116.744073', '14.713223', '0.000000'], ['117.890105', '14.806952', '0.000000']]
[['117.890105', '14.806952', '0.000000'], ['119.034620', '14.917673', '0.000000']]
[['119.034620', '14.917673', '0.000000'], ['120.177366', '15.045363', '0.000000']]
[['120.177366', '15.045363', '0.000000'], ['121.318093', '15.189993', '0.000000']]
[['121.318093', '15.189993', '0.000000'], ['122.456547', '15.351531', '0.000000']]
[['122.456547', '15.351531', '0.000000'], ['123.592480', '15.529943', '0.000000']]
[['123.592480', '15.529943', '0.000000'], ['124.725641', '15.725188', '0.000000']]
[['124.725641', '15.725188', '0.000000'], ['125.855781', '15.937223', '0.000000']]
[['125.855781', '15.937223', '0.000000'], ['126.982650', '16.166003', '0.000000']]
[['126.982650', '16.166003', '0.000000'], ['128.106001', '16.411476', '0.000000']]
[['128.106001', '16.411476', '0.000000'], ['129.225586', '16.673589', '0.000000']]
[['129.225586', '16.673589', '0.000000'], ['130.341159', '16.952283', '0.000000']]
[['130.341159', '16.952283', '0.000000'], ['131.452475', '17.247498', '0.000000']]
[['131.452475', '17.247498', '0.000000'], ['132.349166', '17.500000', '0.000000']]
[['132.349166', '17.500000', '0.000000'], ['163.500000', '17.500000', '0.000000']]
[['163.500000', '17.500000', '0.000000'], ['163.500000', '9.500000', '0.000000']]
[['163.500000', '9.500000', '0.000000'], ['163.500000', '1.500000', '0.000000']]
[['163.500000', '1.500000', '0.000000'], ['132.349166', '1.500000', '0.000000']]
[['132.349166', '1.500000', '0.000000'], ['131.452475', '1.752502', '0.000000']]
[['131.452475', '1.752502', '0.000000'], ['130.341159', '2.047717', '0.000000']]
[['130.341159', '2.047717', '0.000000'], ['129.225586', '2.326411', '0.000000']]
[['129.225586', '2.326411', '0.000000'], ['128.106001', '2.588524', '0.000000']]
[['128.106001', '2.588524', '0.000000'], ['126.982650', '2.833997', '0.000000']]
